"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","VIDEODISC","2007","10","150","The guardian [videorecording] / Beacon Pictures ; Contrafilm ; A School Productions ; Firm Films ; Touchstone Pictures ; produced by Beau Flynn, Tripp Vinson ; written by Ron L. Brinkerhoff ; directed by Andrew Davis.",,"United States Coast Guard Drama, Rescue work Drama, Survival swimming Drama, Lifesaving Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Touchstone Home Entertainment : Distributed by Buena Vista Home Entertainment,","[2007]"
"Physical","Horizon","VIDEODISC","2007","11","150","Snakes on a plane [videorecording] / Hannah Rachel Production Services Ltd. ; Mutual Film Corporation ; New Line Cinema ; Patchwork Productions ; produced by Craig Berenson, Don Granger, Gary Levinsohn ; story by David Dalessandro and John Heffernan ; screenplay by John Heffernan and Sebastian Gutierrez ; directed by David R. Ellis.",,"Poisonous snakes Drama, Boidae Drama, Airplanes Drama, Witnesses Protection Drama, Assassins Drama, Feature films, Thrillers Motion pictures","New Line Home Entertainment : Warner Home Video [distributor],","[2007]"
"Physical","Horizon","VIDEODISC","2007","11","150","Blood diamond [videorecording] / Warner Bros. Pictures ; Bedford Falls Productions ; Initial Entertainment Group ; Spring Creek Productions ; Virtual Studios ; produced by Gilian Gorfil, Marshall Herskovitz, Graham King, Darrell Roodt, Paul Weinstein, Edward Zwick ; story by Charles Leavitt and C. Gaby Mitchell ; screenplay by Charles Leavitt ; directed by Edward Zwick.",,"Smugglers Sierra Leone Drama, Sierra Leone History Civil War 1991 2002 Drama, Diamonds Sierra Leone Drama, Feature films, Video recordings for the hearing impaired, Thrillers Motion pictures, Action and adventure films, War films","Warner Home Video,","[2007]"
"Physical","Horizon","VIDEODISC","2007","11","150","My super ex girlfriend",,"Science fiction films, Fantasy films, Heroes Drama, Video recordings for the hearing impaired, Separation Psychology Drama, Dating Social customs Drama, Feature films, Romantic comedy films, Superhero films",,
"Physical","Horizon","VIDEODISC","2007","11","150","Good night, and good luck [videorecording] / Warner Independent Pictures ; 2929 Productions ; Participant Productions ; Davis-Films ; Redbus Pictures ; Tohokashinsha Film Company ; Section Eight Ltd. ; Metropolitan ; produced by Grant Heslov ; screenplay by George Clooney & Grant Heslov ; directed by George Clooney.",,"Murrow Edward R Drama, McCarthy Joseph 1908 1957 Drama, United States History 20th century Drama, CBS News Drama, Television news anchors Drama, Feature films, Historical films, Video recordings for the hearing impaired","Warner Home Video,","[2006]"
"Physical","Horizon","BOOK","2007","12","150","Harry Potter and the deathly hallows / by J.K. Rowling ; illustrations by Mary GrandPré.","Rowling, J. K.","Potter Harry Fictitious character Juvenile fiction, Wizards Juvenile fiction, England Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction","Arthur A. Levine Books,","2007."
"Physical","Horizon","VIDEODISC","2008","1","150","Blood diamond [videorecording] / Warner Bros. Pictures ; Bedford Falls Productions ; Initial Entertainment Group ; Spring Creek Productions ; Virtual Studios ; produced by Gilian Gorfil, Marshall Herskovitz, Graham King, Darrell Roodt, Paul Weinstein, Edward Zwick ; story by Charles Leavitt and C. Gaby Mitchell ; screenplay by Charles Leavitt ; directed by Edward Zwick.",,"Smugglers Sierra Leone Drama, Sierra Leone History Civil War 1991 2002 Drama, Diamonds Sierra Leone Drama, Feature films, Video recordings for the hearing impaired, Thrillers Motion pictures, Action and adventure films, War films","Warner Home Video,","[2007]"
"Physical","Horizon","VIDEODISC","2008","1","150","Proof",,"Fathers and daughters Drama, Mental illness Drama, Video recordings for the hearing impaired, Grief Drama, Feature films, Mathematicians Family relationships Drama",,
"Physical","Horizon","VIDEODISC","2008","1","150","Happy feet [videorecording] / Kingdom Feature Productions ; Animal Logic ; Kennedy Miller Productions ; Village Roadshow Pictures ; produced by Bill Miller, George Miller, Doug Mitchell ; written by Warren Coleman, John Collee, George Miller, Judy Morris ; directed by George Miller.",,"Emperor penguin Juvenile drama, Tap dancing Juvenile drama, Fishing Catch effort Antarctic regions Juvenile drama, Friendship Antarctic regions Juvenile drama, Antarctica Juvenile drama, Feature films, Animated films, Childrens films, Video recordings for the hearing impaired","Warner Home Video,","2007."
"Physical","Horizon","VIDEODISC","2008","2","150","The departed [videorecording] / Warner Bros. Pictures ; Vertigo Entertainment ; Initial Entertainment Group ; Plan B Entertainment ; Media Asia Films ; produced by Brad Grey, Graham King, Brad Pitt, Martin Scorsese ; screenplay by William Monahan ; directed by Martin Scorsese.",,"Organized crime Massachusetts Boston Drama, Organized crime investigation Massachusetts Boston Drama, Police Massachusetts Boston Drama, Undercover operations Massachusetts Boston Drama, Infiltration Military science Drama, Moles Spies Drama, South Boston Boston Mass Drama, Feature films, Thrillers Motion pictures, Fiction films, Gangster films, Video recordings for the hearing impaired","Warner Home Video,","[2007]"
